,source,target,value
1203,Hal ,Hairy Hal ,3
1204,Lem ,Tom ,9
1205,Lem ,Jack-Be-Lucky ,3
1206,Lem ,Lem Lemoncloak ,7
1207,Lem ,Sevenstrings ,3
1208,Lem ,Greenbeard ,4
1209,Tom ,Sevenstrings ,23
1210,Tom ,Barleycorn ,3
1211,Rolph ,Spicer ,3
1212,Raynald ,Rollam ,3
1213,Kraznys ,mo Nakloz ,14
1214,Grigg ,Errok ,3
1215,Ulmer ,Ulmer of the Kingswood ,4
1216,Dick ,Follard ,5
1217,Dick ,Deaf Dick Follard ,3
1218,Dick ,Crabb ,3
1219,Dick ,Straw ,12
1220,Dick ,Nimble Dick ,33
1221,Dick ,Yellow Dick ,8
1222,Simon ,Toyne ,4
1223,Bill ,Bone ,4
1224,Bill ,Old Bill Bone ,4
1225,Terrence ,Toyne ,3
1226,Arron ,Satin ,4
1227,Arron ,Emrick ,3
1228,Ellaria ,Sand ,12
1229,Anders ,Yronwood ,4
1230,Prendahl ,Sallor ,7
1231,Prendahl ,Daario ,3
1232,Prendahl ,na Ghezn ,6
1233,Sallor ,Daario ,3
1234,Sallor ,na Ghezn ,5
1235,Daario ,na Ghezn ,3
1236,Daario ,Naharis ,23
1237,Gerald ,Gower ,3
1238,Satin ,Emrick ,3
1239,Satin ,Horse ,4
1240,Henly ,Young Henly ,4
1241,Henly ,Old Henly ,4
1242,Owen ,Merryweather ,3
1243,Oznak ,zo Pahl ,6
1244,Oznak ,Strong ,3
1245,Oznak ,Pahl ,6
1246,Maelys ,Maelys the Monstrous ,4
1247,Watt ,Long ,3
1248,Hop-Robin ,Horse ,3
1249,Emmett ,Iron Emmett ,20
1250,Damon ,Skinner ,5
1251,Obara ,Sand ,6
1252,Orton ,Merryweather ,6
1253,Jack ,Bulwer ,6
1254,Jack ,Black Jack Bulwer ,6
1255,Roone ,Mollander ,5
1256,Hill ,Sweet Donnel ,5
1257,Hill ,Sweet ,5
1258,Bulwer ,Black Jack Bulwer ,6
1259,Grandison ,Cafferen ,3
1260,Sand ,Arianne ,3
1261,Yronwood ,Archibald ,4
1262,Follard ,Deaf Dick Follard ,3
1263,zo Pahl ,Pahl ,6
1264,Plumm ,Brown Ben Plumm ,14
1265,Orkwood ,Orkwood of Orkmont ,4
1266,Tawney ,Lenwood ,3
1267,Tawney ,Little Lenwood Tawney ,3
1268,Peake ,Laswell ,3
1269,Kenning ,Ralf ,7
1270,Massey ,Justin ,10
