Namessss
Gared 
Waymar 
Will 
Brandon 
Mance 
Robb 
Jon 
Eddard 
Theon 
Robert 
Jory 
Hullen 
Harwin 
Rodrik 
Rickon 
Desmond 
Catelyn 
Arya 
Sansa 
Luwin 
Aerys 
Hoster 
Pycelle 
Brynden 
Benjen 
Lysa 
Cersei 
Tommen 
Daenerys 
Dany 
Illyrio 
Viserys 
Drogo 
Rhaegar 
Elia 
Willem 
Aegon 
Moro 
Rhogoro 
Jorah 
Jaime 
Sandor 
Tyrion 
Balon 
Rickard 
Lyanna 
Howland 
Tywin 
Joffrey 
Myrcella 
Daeron 
Edmure 
Arthur 
Ashara 
Mordane 
Beth 
Lew 
Donnis 
Serwyn 
Ryam 
Aemon 
Erryk 
Arryk 
Gerold 
Barristan 
Boros 
Gage 
Mikken 
Walder 
Stannis 
Renly 
Petyr 
Aethelmure 
Chayle 
Ayrmidon 
Irri 
Jhiqui 
Doreah 
Haggo 
Cohollo 
Qotho 
Alyn 
Wylla 
Baelor 
Varys 
Yoren 
Loren 
Mern 
Morrec 
Vayon 
Hallis 
Mycah 
Ilyn 
Daeryssa 
Naerys 
Morgil 
Raymun 
Moreo 
Aron 
Maegor 
Loras 
Grenn 
Alliser 
Jeren 
Todder 
Dareon 
Pypar 
Halder 
Jeor 
Donal 
Cotter 
Bowen 
Mace 
Helman 
Galbart 
Wyman 
Jaremy 
Jyck 
Maege 
Yohn 
Denys 
Jeyne 
Jacks 
Porther 
Tomard 
Syrio 
Maekar 
Colemon 
Jaehaerys 
Malleon 
Hugh 
Rast 
Albett 
Samwell 
Randyll 
Qhorin 
Mathis 
Janos 
Margaery 
Varly 
Beric 
Tobho 
Gendry 
Masha 
Jason 
Patrek 
Shella 
Marillion 
Alia 
Jonos 
Gregor 
Thoros 
Bryce 
Andar 
Robar 
Horas 
Hobber 
Jared 
Hosteen 
Danwell 
Emmon 
Theo 
Martyn 
Jalabhar 
Lothor 
Moon Boy 
Lancel 
Dacks 
Anguy 
Cayn 
Chiggen 
Bronn 
Mohor 
Willis 
Kurleket 
Lharys 
Godwyn 
Roose 
Tanda 
Donnel 
Nestor 
Mya 
Mychel 
Lyn 
Vardis 
Heward 
Wyl 
Chataya 
Barra 
Selyse 
Tregar 
Joseth 
Kyra 
Bessa 
Stiv 
Hali 
Osha 
Farlen 
Quent 
Wallen 
Wayn 
Mord 
Albar 
Eon 
Anya 
Ethan 
Mark 
Willam 
Oswell 
Alyssa 
Clement 
Morton 
Gueren 
Matthar 
Hobb 
Cuger 
Clydas 
Chett 
Gunthor 
Gurn 
Shagga 
Dolf 
Conn 
Coratt 
Torrek 
Jaggot 
Karyl 
Arys 
Joss 
Marq 
Gladden 
Lothar 
Jonquil 
Florian 
Tya 
Gowen 
Ogo 
Fogo 
Jommo 
Preston 
Kevan 
Qos 
Cellador 
Othell 
Borcas 
Dickon 
Dywen 
Mandon 
Othor 
Jafer 
Bass 
Hake 
Ketter 
Harrion 
Torrhen 
Medger 
Robin 
Robett 
Halys 
Byan 
Quaro 
Rakharo 
Bharbo 
Wylis 
Wendel 
Chella 
Ulf 
Umar 
Timett 
Flement 
Roland 
Tytos 
Addam 
Gyles 
Dontos 
Stevron 
Doran 
Lewyn 
Rhaenys 
Perwyn 
Ryger 
Olyvar 
Elmar 
Endrew 
Pate 
Rudge 
Harren 
Jhogo 
Mago 
Jhaqo 
Mirri 
Marwyn 
Leo 
Podrick 
Shae 
Lewys 
Daryn 
Dacey 
Gawen 
Quenten 
Garth 
Regenard 
Mallor 
Eroeh 
Pono 
Buu 
Symeon 
Cregan 
Harys 
Andros 
Forley 
Vargo 
Amory 
Vyman 
Bethany 
Royce 
Stark 
Rayder 
Snow 
Greyjoy 
Baratheon 
Cassel 
Arryn 
Targaryen 
Tully 
Lannister 
Mopatis 
Martell 
Darry 
Mormont 
Clegane 
Reed 
Dayne 
Redwyne 
Cargyll 
Hightower 
Selmy 
Blount 
Baelish 
Poole 
Mollen 
Payne 
Tumitis 
Santagar 
Tyrell 
Thorne 
Noye 
Pyke 
Marsh 
Tallhart 
Glover 
Manderly 
Rykker 
Mallister 
Forel 
Tarly 
Rowan 
Slynt 
Dondarrion 
Mott 
Heddle 
Whent 
Frey 
Bracken 
Swann 
Caron 
Rivers 
Xho 
Brune 
Wode 
Bolton 
Stokeworth 
Waynwood 
Stone 
Redfort 
Corbray 
Egen 
Hunter 
Wull 
Ryswell 
Dustin 
Vance 
Piper 
Oakheart 
Wylde 
Mallery 
Greenfield 
Yarwyck 
Moore 
Flowers 
Karstark 
Cerwyn 
Flint 
Hornwood 
Umber 
Votyris 
Brax 
Crakehall 
Marbrand 
Rosby 
Hollard 
Blackwood 
Tarth 
Hoare 
Maz Duur 
Lefford 
Lydden 
Serrett 
Westerling 
Banefort 
Estren 
Swyft 
Prester 
Hoat 
Lorch 
Bran 
King-Beyond-the-Wall 
Old Nan 
The Builder 
The Mad King 
Sweetrobin 
Blackfish 
Stormborn 
The Beggar King 
The Dragon 
The Conqueror 
Kingslayer 
The Hound 
The Imp 
The Drunken 
Sword of the Morning
Of the Mirror Shield
The Dragonknight 
The White Bull 
Hodor 
Littlefinger 
The Blessed 
The Spider 
Of the Rock 
Of the Reach 
The Cruel 
Knight of Flowers 
Aurochs 
Toad 
Pyp 
Stone Head 
The Old Bear 
The Fat One 
Bronze Yohn 
Fat Tom 
Dragonbane 
The Unlikely 
The Fortunate 
Of the Vale 
Halfhand 
The Clever 
The Lightning Lord 
The Late Lord Frey
Of Braavos 
The Mountain that Rides
Of Myr 
Horror 
Slobber 
Ser Loon 
Three-finger 
Son of Gurn 
Son of Dolf 
Son of Coratt 
The Fool 
The Rainbow Knight 
Greatjon 
Daughter of Cheyk 
Son of Umar 
Son of Timett 
Rhaegar's daughter 
Of the Night's Watch
The Black 
Marwyn the Mage 
Smalljon 
The Dornishman 
Star-Eyes 
The Shipwright 
The Burner 
The King who Knelt 
Cressen 
Pylos 
Patchface 
Dalla 
Matrice 
Steffon 
Jommy 
Harbert 
Davos 
Gulian 
Salladhor 
Morosh 
Melisandre 
Ardrian 
Monford 
Duram 
Axell 
Guncer 
Lommy 
Hot Pie 
Lollys 
Falyse 
Ermesande 
Morros 
Vylarr 
Hayhead 
Alebelly 
Jammos 
Merrett 
Waltyr 
Turnip 
Bandy 
Shyra 
Palla 
Calon 
TomToo 
Praed 
Tarber 
Malcolm 
Lync 
Hod 
William 
Jaqen 
Rorge 
Biter 
Reysen 
Cutjack 
Kurz 
Koss 
Dobber 
Redwyn 
Dorren 
Conwy 
Thoren 
Arnell 
Aerion 
Burton 
Hendry 
Allar 
Jacelyn 
Murch 
Allard 
Dale 
Barre 
Hubard 
Maric 
Matthos 
Devan 
Marya 
Bryen 
Azor Ahai 
Nissa Nissa 
Cassana 
Delena 
Edric 
Sawane 
Gorold 
Sylas 
Dagmer 
Helya 
Qalen 
Wendamyr 
Lynesse 
Pyat 
Xaro 
Quaithe 
Eddison 
Jarman 
Mallador 
Bedwyck 
Ottyn 
Woth 
Gerren 
Rey 
Urreg 
Qyle 
Frenken 
Ironbelly 
Salloreon 
Alayaya 
Poxy Tym 
Donella 
Domeric 
Heke 
Mors 
Hother 
Larence 
Leobald 
Benfred 
Beren 
Ondrew 
Lyessa 
Cley 
Tallad 
Hallyne 
Weasel 
Munciter 
Malliard 
Rossart 
Crawn 
Calor 
Skittrick 
Meera 
Jojen 
Shadd 
Colen 
Ronnet 
Brienne 
Selwyn 
Lorent 
Lucas 
Josua 
Elyas 
Guyard 
Tanton 
Cortnay 
Craster 
Lark 
Gilly 
Nella 
Bernarr 
Bael 
Gendel 
Gorne 
Joramun 
Esgred 
Sigrin 
Otter 
Bluetooth 
Rymolf 
Uller 
Qarl 
Skyte 
Eldiss 
Wex 
Rolfe 
Chiswyck 
Rafford 
Dunsen 
Amabel 
Harra 
Weese 
Saathos 
Quhuru 
Dancy 
Marei 
Pia 
Wat 
Dunaver 
Jodge 
Tothmure 
Eggon 
Layna 
Tobbot 
Durran 
Elenei 
Rupert 
Lymond 
Antario 
Osmynd 
Parmen 
Alester 
Stygg 
Werlag 
Tymor 
Urzen 
Lorren 
Gevin 
Maron 
Todric 
Andrik 
Dunstan 
Lucan 
Lyonel 
Tuffleberry 
Rymund 
Enger 
Delp 
Poul 
Myles 
Mathos 
Wendello 
Egon 
Osmund 
Osney 
Osfryd 
Bryan 
Eldon 
Erren 
Elwood 
Rattleshirt 
Harma 
Alfyn 
Ebben 
Symon 
Kym 
Mebble 
Aenys 
Cadwyn 
Ben 
Shagwell 
Holger 
Pollitor 
Drennan 
Squint 
Aggar 
Gynir 
Dalbridge 
Stonesnake 
Ygritte 
Jeffory 
Kyle 
Elbert 
Kromm 
Cadwyl 
Imry 
Arneld 
Urrathon 
Sybassion 
Belwas 
Walton 
Utt 
Qyburn 
Urswyck 
Philip 
Edwyd 
Willit 
Josmyn 
Bonifer 
Dermot 
Timon 
Aurane 
Dykk 
Endehar 
Harrag 
Kenned 
Ramsay 
Ballabar 
Ragwyle 
Edwyle 
Artos 
Donnor 
Beron 
Rodwell 
Jonnel 
Barth 
Edwyn 
Edderion 
Eyron 
Edrick 
Seaworth 
Saan 
Celtigar 
Velaryon 
Bar Emmon 
Florent 
Sunglass 
Hayford 
Mooton 
H'ghar 
Smallwood 
Deem 
Bywater 
Rambton 
Farring 
Norcross 
Storm 
Botley 
Goodbrother 
Ormollen 
Pree 
Xhoan Daxos 
Tollett 
Buckwell 
Locke 
Wythers 
Connington 
Caswell 
Willum 
Varner 
Morrigen 
Mullendore 
Fossoway 
Penrose 
Redbeard 
Gimpknee 
Stormdrunk 
Mo 
Stackspear 
Stilwood 
Godsgrief 
Vikary 
Jast 
Crane 
Cuy 
Harlaw 
Drumm 
Pemford 
Mallarawan 
Qar Deeth 
Emeros 
Kettleblack 
Estermont 
Meadows 
Deremond 
Haigh 
Foote 
Peckledon 
Hasty 
Waters 
Sharp 
The Onion Knight 
The Myrman 
Of Asshai 
Melony 
Greenhands 
Big Walder 
Son of Jammos 
Son of Merrett 
Son of Ryman 
Son of Emmon 
Aerion the Monstrous 
Little Walder 
Black Walder 
Red Walder 
Bastard Walder 
Tyr 
The kennel girl 
Son of Tomard 
Brightflame 
Sourmouth 
Cleftjaw 
Of the Shadow 
Dolorous Edd 
Giant 
Master Armorer 
Reek 
Crowfood 
Whoresbane 
The Tall 
The Pyromancer 
Son of Calor 
Of Greenpools 
Red Ronnet 
The Blue 
Of Tarth 
The Beauty 
The Evenstar 
The Green 
The Sisterman 
Brown Bernarr 
The Bard 
The Maid 
The Tickler 
Raff the Sweetling 
Shitmouth 
The Wise 
Pretty Pia 
Whitesmile Wat 
The Purple 
The Yellow 
Black Lorren 
