,source,target,value
0,Gared ,Will ,3
1,Waymar ,Royce ,9
2,Brandon ,Catelyn ,4
3,Brandon ,Lyanna ,3
4,Brandon ,Petyr ,4
5,Brandon ,Stark ,5
6,Mance ,Rayder ,3
7,Robb ,Jon ,15
8,Robb ,Theon ,8
9,Robb ,Rodrik ,3
10,Robb ,Rickon ,13
11,Robb ,Catelyn ,5
12,Robb ,Arya ,4
13,Robb ,Sansa ,3
14,Robb ,Luwin ,4
15,Robb ,Benjen ,3
16,Robb ,Joffrey ,3
17,Robb ,Stark ,10
18,Robb ,Bran ,29
19,Robb ,Hal ,3
20,Robb ,Ned ,5
21,Jon ,Eddard ,4
22,Jon ,Robert ,5
23,Jon ,Arya ,5
24,Jon ,Benjen ,9
25,Jon ,Lysa ,3
26,Jon ,Tyrion ,6
27,Jon ,Aemon ,3
28,Jon ,Stannis ,3
29,Jon ,Grenn ,9
30,Jon ,Alliser ,3
31,Jon ,Samwell ,6
32,Jon ,Royce ,3
33,Jon ,Stark ,13
34,Jon ,Snow ,35
35,Jon ,Arryn ,30
36,Jon ,Lannister ,5
37,Jon ,Mormont ,4
38,Jon ,Noye ,3
39,Jon ,Tarly ,5
40,Jon ,Bran ,10
41,Jon ,Pyp ,7
42,Jon ,Ben ,4
43,Jon ,Ned ,10
44,Eddard ,Theon ,3
45,Eddard ,Robert ,4
46,Eddard ,Sansa ,3
47,Eddard ,Mordane ,3
48,Eddard ,Torrhen ,3
49,Eddard ,Stark ,53
50,Theon ,Luwin ,3
51,Theon ,Hallis ,4
52,Theon ,Greyjoy ,30
53,Theon ,Mollen ,3
54,Theon ,Greatjon ,3
55,Robert ,Aerys ,3
56,Robert ,Cersei ,4
57,Robert ,Tyrion ,3
58,Robert ,Tywin ,4
59,Robert ,Joffrey ,3
60,Robert ,Renly ,4
61,Robert ,Varys ,3
62,Robert ,Stark ,3
63,Robert ,Baratheon ,14
64,Robert ,Arryn ,4
65,Robert ,Targaryen ,4
66,Robert ,Ned ,27
67,Jory ,Hullen ,3
68,Jory ,Rodrik ,3
69,Jory ,Arya ,3
70,Jory ,Sansa ,3
71,Jory ,Alyn ,3
72,Jory ,Cassel ,5
73,Jory ,Fat Tom ,4
74,Jory ,Tom ,4
75,Harwin ,Alyn ,6
76,Rodrik ,Catelyn ,4
77,Rodrik ,Cassel ,7
78,Rickon ,Arya ,3
79,Rickon ,Sansa ,4
80,Rickon ,Bran ,12
81,Catelyn ,Luwin ,3
82,Catelyn ,Hoster ,4
83,Catelyn ,Brynden ,4
84,Catelyn ,Lysa ,6
85,Catelyn ,Tyrion ,8
86,Catelyn ,Walder ,3
87,Catelyn ,Bronn ,4
88,Catelyn ,Stark ,33
89,Catelyn ,Tully ,11
90,Catelyn ,Lannister ,4
91,Catelyn ,Frey ,3
92,Catelyn ,Bran ,3
93,Catelyn ,Ned ,6
94,Arya ,Sansa ,28
95,Arya ,Joffrey ,6
96,Arya ,Mordane ,5
97,Arya ,Jeyne ,3
98,Arya ,Poole ,3
99,Arya ,Bran ,5
100,Arya ,Fat Tom ,3
101,Arya ,Tom ,3
102,Arya ,Nymeria ,6
103,Arya ,Ned ,6
104,Sansa ,Joffrey ,11
105,Sansa ,Mordane ,13
106,Sansa ,Jeyne ,12
107,Sansa ,Stark ,4
108,Sansa ,Poole ,5
109,Sansa ,Bran ,4
110,Sansa ,Ned ,7
111,Luwin ,Osha ,3
112,Luwin ,Bran ,12
113,Aerys ,Targaryen ,9
114,Hoster ,Tully ,7
115,Pycelle ,Barristan ,3
116,Pycelle ,Renly ,3
117,Pycelle ,Varys ,3
118,Pycelle ,Littlefinger ,5
119,Pycelle ,Ned ,7
120,Brynden ,Tully ,11
121,Brynden ,Blackfish ,6
122,Benjen ,Stark ,27
123,Lysa ,Tyrion ,4
124,Lysa ,Arryn ,14
125,Lysa ,Ned ,3
126,Cersei ,Tywin ,3
127,Cersei ,Lannister ,20
128,Cersei ,Ned ,4
129,Tommen ,Myrcella ,3
130,Daenerys ,Viserys ,3
131,Daenerys ,Drogo ,4
132,Daenerys ,Aegon ,3
133,Daenerys ,Targaryen ,8
134,Dany ,Illyrio ,3
135,Dany ,Viserys ,4
136,Dany ,Drogo ,15
137,Dany ,Jorah ,10
138,Dany ,Irri ,10
139,Dany ,Jhiqui ,11
140,Dany ,Doreah ,6
141,Dany ,Mirri ,6
142,Dany ,Maz Duur ,3
143,Illyrio ,Viserys ,6
144,Viserys ,Drogo ,4
145,Viserys ,Targaryen ,4
146,Drogo ,Doreah ,3
147,Rhaegar ,Targaryen ,7
148,Rhaegar ,Ned ,3
149,Aegon ,Targaryen ,5
150,Jorah ,Mormont ,18
151,Jaime ,Sandor ,4
152,Jaime ,Tyrion ,6
153,Jaime ,Tywin ,7
154,Jaime ,Lannister ,29
155,Jaime ,Clegane ,4
156,Sandor ,Lannister ,3
157,Sandor ,Clegane ,25
158,Tyrion ,Tywin ,5
159,Tyrion ,Yoren ,3
160,Tyrion ,Bronn ,8
161,Tyrion ,Shagga ,6
162,Tyrion ,Stark ,8
163,Tyrion ,Lannister ,62
164,Tyrion ,Mormont ,3
165,Tyrion ,Bran ,3
166,Balon ,Swann ,3
167,Tywin ,Kevan ,3
168,Tywin ,Targaryen ,3
169,Tywin ,Lannister ,27
170,Joffrey ,Baratheon ,3
171,Edmure ,Tully ,5
172,Arthur ,Sword of the Morning,6
173,Mordane ,Jeyne ,4
174,Barristan ,Selmy ,12
175,Barristan ,Ned ,4
176,Boros ,Blount ,4
177,Walder ,Frey ,7
178,Stannis ,Renly ,8
179,Stannis ,Baratheon ,4
180,Stannis ,Arryn ,4
181,Stannis ,Ned ,5
182,Renly ,Baratheon ,9
183,Renly ,Ned ,6
184,Petyr ,Baelish ,10
185,Irri ,Jhiqui ,9
186,Irri ,Doreah ,8
187,Jhiqui ,Doreah ,8
188,Haggo ,Qotho ,3
189,Varys ,Littlefinger ,5
190,Morrec ,Jyck ,3
191,Vayon ,Poole ,10
192,Hallis ,Mollen ,11
193,Ilyn ,Payne ,5
194,Raymun ,Darry ,6
195,Aron ,Santagar ,4
196,Aron ,Brune ,4
197,Loras ,Gregor ,4
198,Loras ,Tyrell ,9
199,Grenn ,Toad ,4
200,Grenn ,Pyp ,9
201,Alliser ,Thorne ,11
202,Halder ,Pyp ,3
203,Donal ,Noye ,10
204,Cotter ,Pyke ,3
205,Bowen ,Marsh ,13
206,Helman ,Tallhart ,4
207,Galbart ,Glover ,7
208,Galbart ,Greatjon ,3
209,Jaremy ,Rykker ,5
210,Jeyne ,Beric ,3
211,Jeyne ,Poole ,12
212,Tomard ,Cayn ,5
213,Tomard ,Ned ,5
214,Syrio ,Forel ,18
215,Samwell ,Tarly ,25
216,Janos ,Slynt ,11
217,Tobho ,Mott ,3
218,Masha ,Heddle ,6
219,Jason ,Mallister ,4
220,Jonos ,Bracken ,4
221,Gregor ,Clegane ,9
222,Gregor ,Ned ,4
223,Bryce ,Caron ,3
224,Lothor ,Brune ,3
225,Cayn ,Ned ,3
226,Bronn ,Vardis ,3
227,Bronn ,Shagga ,4
228,Bronn ,Stark ,3
229,Willis ,Wode ,7
230,Roose ,Bolton ,12
231,Lyn ,Corbray ,3
232,Vardis ,Egen ,5
233,Osha ,Bran ,3
234,Shagga ,Dolf ,3
235,Shagga ,Conn ,4
236,Shagga ,Ulf ,3
237,Shagga ,Timett ,3
238,Conn ,Stone ,3
239,Karyl ,Vance ,3
240,Marq ,Piper ,8
241,Quaro ,Rakharo ,4
242,Wylis ,Wendel ,3
243,Ulf ,Umar ,3
244,Ulf ,Timett ,3
245,Tytos ,Blackwood ,3
246,Addam ,Marbrand ,3
247,Mirri ,Maz Duur ,30
248,Stark ,Tully ,3
249,Stark ,Lannister ,4
250,Stark ,Ben ,8
251,Stark ,Ned ,23
252,Snow ,Stone ,3
253,Arryn ,Ned ,5
254,Targaryen ,Lannister ,3
255,Lannister ,Clegane ,3
256,Lannister ,Bran ,4
257,Lannister ,Ned ,4
258,Redwyne ,Tyrell ,3
259,Mollen ,Hal ,4
260,Bracken ,Blackwood ,4
261,Vance ,Piper ,4
262,Flowers ,Knight of Flowers ,10
263,Flowers ,The Knight ,5
264,Karstark ,Bran ,3
265,Bran ,Old Nan ,6
266,Bran ,Hodor ,13
267,Littlefinger ,Ned ,4
268,Knight of Flowers ,The Knight ,5
269,Fat Tom ,Tom ,12
