,source,target,value
0,Brandon ,Rickard ,3
1,Brandon ,Ygritte ,3
2,Mance ,Rayder ,8
3,Robb ,Jon ,5
4,Robb ,Theon ,4
5,Robb ,Rickon ,3
6,Robb ,Catelyn ,6
7,Robb ,Arya ,3
8,Robb ,Joffrey ,3
9,Robb ,Walder ,4
10,Robb ,Stannis ,3
11,Robb ,Renly ,4
12,Robb ,Stark ,23
13,Robb ,Lannister ,4
14,Robb ,Bran ,9
15,Jon ,Robert ,4
16,Jon ,Rickon ,3
17,Jon ,Samwell ,3
18,Jon ,Qhorin ,6
19,Jon ,Snow ,17
20,Jon ,Arryn ,8
21,Jon ,Mormont ,6
22,Jon ,Tarly ,3
23,Jon ,The Old Bear ,3
24,Jon ,Halfhand ,5
25,Jon ,Craster ,4
26,Jon ,Dalbridge ,3
27,Jon ,Stonesnake ,4
28,Jon ,Fossoway ,3
29,Jon ,Squire Dalbridge ,3
30,Jon ,Ned ,4
31,Eddard ,Theon ,3
32,Eddard ,Robert ,4
33,Eddard ,Stark ,20
34,Theon ,Luwin ,3
35,Theon ,Balon ,6
36,Theon ,Greyjoy ,19
37,Theon ,Pyke ,3
38,Theon ,Dagmer ,3
39,Theon ,Esgred ,3
40,Theon ,Wex ,3
41,Theon ,Ned ,3
42,Robert ,Jaime ,4
43,Robert ,Tyrion ,3
44,Robert ,Myrcella ,3
45,Robert ,Stannis ,7
46,Robert ,Renly ,3
47,Robert ,Stark ,6
48,Robert ,Baratheon ,8
49,Robert ,Lannister ,3
50,Robert ,Ned ,6
51,Rodrik ,Luwin ,4
52,Rodrik ,Stark ,4
53,Rodrik ,Cassel ,4
54,Rodrik ,Bran ,5
55,Rickon ,Arya ,3
56,Rickon ,Bran ,19
57,Catelyn ,Tyrion ,3
58,Catelyn ,Renly ,4
59,Catelyn ,Stark ,7
60,Catelyn ,Lannister ,3
61,Catelyn ,Brienne ,5
62,Arya ,Sansa ,10
63,Arya ,Tywin ,4
64,Arya ,Yoren ,8
65,Arya ,Gendry ,8
66,Arya ,Bran ,3
67,Arya ,Lommy ,6
68,Arya ,Hot Pie ,9
69,Arya ,Jaqen ,5
70,Arya ,Rorge ,4
71,Arya ,Weese ,8
72,Sansa ,Cersei ,3
73,Sansa ,Tyrion ,3
74,Sansa ,Joffrey ,8
75,Sansa ,Ilyn ,3
76,Sansa ,Stark ,7
77,Sansa ,Lannister ,3
78,Luwin ,Bran ,7
79,Hoster ,Tully ,3
80,Pycelle ,Tyrion ,3
81,Pycelle ,Varys ,3
82,Pycelle ,Littlefinger ,3
83,Lysa ,Arryn ,5
84,Cersei ,Jaime ,6
85,Cersei ,Tyrion ,5
86,Cersei ,Tywin ,3
87,Cersei ,Joffrey ,3
88,Cersei ,Varys ,3
89,Cersei ,Lancel ,3
90,Cersei ,Lannister ,10
91,Daenerys ,Targaryen ,3
92,Dany ,Jorah ,4
93,Dany ,Irri ,3
94,Dany ,Jhiqui ,3
95,Dany ,Xaro ,4
96,Jorah ,Mormont ,9
97,Jaime ,Tyrion ,4
98,Jaime ,Lannister ,16
99,Sandor ,Clegane ,15
100,Tyrion ,Joffrey ,6
101,Tyrion ,Stannis ,7
102,Tyrion ,Varys ,4
103,Tyrion ,Janos ,4
104,Tyrion ,Bronn ,6
