,source,target,value
105,Tyrion ,Mandon ,5
106,Tyrion ,Shae ,8
107,Tyrion ,Stark ,5
108,Tyrion ,Baratheon ,3
109,Tyrion ,Lannister ,22
110,Tyrion ,Littlefinger ,5
111,Tyrion ,Jacelyn ,3
112,Tyrion ,Osmund ,3
113,Balon ,Greyjoy ,10
114,Balon ,Lannister ,3
115,Balon ,Swann ,10
116,Rickard ,Karstark ,3
117,Howland ,Reed ,5
118,Tywin ,Lannister ,13
119,Joffrey ,Stannis ,7
120,Joffrey ,Ilyn ,3
121,Joffrey ,Baratheon ,4
122,Joffrey ,Osmund ,3
123,Myrcella ,Martell ,3
124,Edmure ,Tully ,6
125,Barristan ,Selmy ,4
126,Boros ,Lancel ,3
127,Boros ,Preston ,3
128,Boros ,Blount ,6
129,Walder ,Frey ,6
130,Walder ,Rivers ,3
131,Walder ,Bran ,4
132,Walder ,Big Walder ,14
133,Walder ,Little Walder ,24
134,Stannis ,Renly ,14
135,Stannis ,Baratheon ,14
136,Stannis ,Cressen ,3
137,Stannis ,Davos ,10
138,Stannis ,Cortnay ,4
139,Stannis ,Imry ,3
140,Renly ,Baratheon ,6
141,Renly ,Lannister ,3
142,Renly ,Brienne ,6
143,Petyr ,Baelish ,5
144,Varys ,Shae ,5
145,Varys ,Littlefinger ,6
146,Yoren ,Hot Pie ,3
147,Yoren ,Koss ,3
148,Ilyn ,Payne ,7
149,Aron ,Santagar ,3
150,Loras ,Tyrell ,4
151,Grenn ,Dywen ,3
152,Alliser ,Thorne ,4
153,Mace ,Tyrell ,9
154,Helman ,Tallhart ,3
155,Syrio ,Forel ,5
156,Samwell ,Tarly ,8
157,Randyll ,Tarly ,6
158,Qhorin ,Halfhand ,19
159,Mathis ,Rowan ,6
160,Janos ,Slynt ,15
161,Beric ,Dondarrion ,3
162,Gendry ,Lommy ,3
163,Gendry ,Hot Pie ,6
164,Jason ,Mallister ,5
165,Gregor ,Clegane ,8
166,Bryce ,Caron ,5
167,Horas ,Hobber ,3
168,Horas ,Redwyne ,3
169,Hobber ,Redwyne ,3
170,Emmon ,Cuy ,4
171,Jalabhar ,Xho ,3
172,Lancel ,Lannister ,4
173,Roose ,Bolton ,16
174,Tanda ,Gyles ,3
175,Osha ,Hodor ,3
176,Karyl ,Vance ,3
177,Arys ,Oakheart ,4
178,Preston ,Greenfield ,3
179,Mandon ,Moore ,12
180,Robin ,Ryger ,3
181,Robett ,Glover ,5
182,Wendel ,Manderly ,7
183,Wendel ,Shadd ,3
184,Doran ,Martell ,5
185,Perwyn ,Frey ,3
186,Mirri ,Maz Duur ,3
187,Podrick ,Payne ,6
188,Vargo ,Hoat ,17
189,Amory ,Lorch ,12
190,Stark ,Greyjoy ,3
191,Stark ,Arryn ,5
192,Stark ,Lannister ,3
193,Stark ,Ned ,16
194,Arryn ,Ned ,4
195,Mormont ,Thoren ,3
196,Reed ,Meera ,4
197,Reed ,Jojen ,6
198,Redwyne ,Tyrell ,3
199,Mollen ,Hal ,10
200,Tallhart ,Leobald ,6
201,Tallhart ,Benfred ,4
202,Flowers ,Knight of Flowers ,11
203,Flowers ,The Knight ,4
204,Cerwyn ,Cley ,5
205,Umber ,Mors ,3
206,Tarth ,Brienne ,3
207,Bran ,Hodor ,9
208,Bran ,Meera ,5
209,Knight of Flowers ,The Knight ,4
210,Toad ,Pyp ,4
211,Davos ,Seaworth ,9
212,Salladhor ,Saan ,15
213,Axell ,Florent ,4
214,Lommy ,Hot Pie ,12
215,Lommy ,Greenhands ,6
216,Jaqen ,Rorge ,3
217,Jaqen ,Biter ,6
218,Jaqen ,H'ghar ,13
219,Rorge ,Biter ,5
220,Thoren ,Jarman ,3
221,Thoren ,Smallwood ,10
222,Jacelyn ,Bywater ,10
223,Dagmer ,Cleftjaw ,6
224,Pyat ,Xaro ,5
225,Pyat ,Pree ,17
226,Xaro ,Pree ,3
227,Xaro ,Xhoan Daxos ,16
228,Jarman ,Buckwell ,3
229,Mallador ,Locke ,3
230,Ottyn ,Wythers ,4
231,Meera ,Jojen ,4
232,Guyard ,Morrigen ,4
233,Cortnay ,Penrose ,11
234,Chiswyck ,Weese ,3
235,Alester ,Florent ,3
236,Lorren ,Black Lorren ,16
237,Osney ,Kettleblack ,5
238,Osfryd ,Kettleblack ,3
239,Dalbridge ,Squire Dalbridge ,7
240,Belwas ,Strong Belwas ,3
241,Belwas ,Strong ,3
242,Big Walder ,Little Walder ,3
243,Strong Belwas ,Strong ,3
