,source,target,value
0,Will ,Cletus ,6
1,Will ,Hizdahr ,3
2,Mance ,Jon ,7
3,Mance ,Stannis ,8
4,Mance ,Rayder ,20
5,Mance ,Melisandre ,3
6,Mance ,Tormund ,6
7,Mance ,Val ,4
8,Robb ,Jon ,7
9,Robb ,Rickon ,3
10,Robb ,Stark ,9
11,Robb ,Bran ,10
12,Jon ,Eddard ,4
13,Jon ,Arya ,4
14,Jon ,Cersei ,3
15,Jon ,Jaime ,3
16,Jon ,Aemon ,4
17,Jon ,Stannis ,17
18,Jon ,Donal ,3
19,Jon ,Bowen ,7
20,Jon ,Clydas ,5
21,Jon ,Stark ,4
22,Jon ,Snow ,105
23,Jon ,Baratheon ,4
24,Jon ,Arryn ,11
25,Jon ,Marsh ,7
26,Jon ,Bran ,5
27,Jon ,Pyp ,3
28,Jon ,Melisandre ,5
29,Jon ,Ygritte ,5
30,Jon ,Tollett ,3
31,Jon ,Connington ,27
32,Jon ,Dolorous Edd ,5
33,Jon ,Tormund ,11
34,Jon ,Val ,5
35,Jon ,Tom ,3
36,Jon ,Alys ,4
37,Jon ,Satin ,8
38,Jon ,Owen ,5
39,Jon ,Emmett ,3
40,Jon ,Jack ,4
41,Jon ,Giantsbane ,4
42,Jon ,Horse ,4
43,Jon ,Iron Emmett ,3
44,Jon ,Leathers ,6
45,Jon ,Ned ,3
46,Jon ,Long ,4
47,Jon ,Pinchface ,3
48,Eddard ,Stark ,17
49,Theon ,Rodrik ,3
50,Theon ,Arya ,4
51,Theon ,Jeyne ,3
52,Theon ,Greyjoy ,14
53,Theon ,Bolton ,3
54,Theon ,Ramsay ,7
55,Robert ,Cersei ,8
56,Robert ,Rhaegar ,3
57,Robert ,Balon ,4
58,Robert ,Mya ,5
59,Robert ,Stark ,5
60,Robert ,Baratheon ,14
61,Robert ,Arryn ,6
62,Rickon ,Bran ,6
63,Catelyn ,Stark ,5
64,Catelyn ,Tully ,3
65,Arya ,Roose ,3
66,Arya ,Stark ,6
67,Arya ,Bran ,3
68,Arya ,Ramsay ,3
69,Arya ,Umma ,5
70,Sansa ,Lysa ,3
71,Sansa ,Jaime ,4
72,Sansa ,Joffrey ,3
73,Sansa ,Petyr ,4
74,Sansa ,Royce ,3
